Magexperts Commerce,Magexperts Commerce
HTML Sitemap,HTML Sitemap
General,General
Enable,Enable
HTML Sitemap URL Key,HTML Sitemap URL Key
Fill in the order of sessions to be displayed,Fill in the order of sessions to be displayed
Please fill in all 4 items separated by a coma,Please fill in all 4 items separated by a coma
Example:1,2,3,4 are IDs of sessions as below,Example:1,2,3,4 are IDs of sessions as below
Product List,Product List
Store View List,Store View List
Additional Link List,Additional Link List
Category and CMS Page List,Category and CMS Page List
Show Product Link,Show Product Link
Title of "Product List",Title of "Product List"
Sort Product by,Sort Product by
Arrange Product by,Arrange Product by
Maximum Products Displayed on Sitemap,Maximum Products Displayed on Sitemap
The maximum number you can fill in is 50000,The maximum number you can fill in is 50000
Show Store View Link,Show Store View Link
Title of "Store View List",Title of "Store View List"
Show Category Link,Show Category Link
Title of "Category List",Title of "Category List"
Disable Category,Disable Category
Fill in category IDs you want to hide in Sitemap (separated by a coma),Fill in category IDs you want to hide in Sitemap (separated by a coma)
Example:,Example:
Title of "Additional Link List",Title of "Additional Link List"
List of Additional Links,List of Additional Links
Please follow this example to add additional links:,Please follow this example to add additional links:
Anchor Text,Anchor Text
Open Additional Link in a New Tab,Open Additional Link in a New Tab
Show CMS Link,Show CMS Link
Title of "CMS List",Title of "CMS List"
Disable CMS Link,Disable CMS Link
Hold Ctrl when choosing multiple options,Hold Ctrl when choosing multiple options
Search Engine Optimization,Search Engine Optimization
Meta Title,Meta Title
Meta Keywords,Meta Keywords
Meta Description,Meta Description
Please fill in the correct number format,Please fill in the correct number format
You have filled in the correct format,You have filled in the correct format
Please fill in the correct text format,Please fill in the correct text format
Show Link at,Show Link at